序号,日期,年,季,月,年周数,星期
1,2016/1/1,2016,1,1,1,6
2,2016/1/2,2016,1,1,1,7
3,2016/1/3,2016,1,1,2,1
4,2016/1/4,2016,1,1,2,2
5,2016/1/5,2016,1,1,2,3
6,2016/1/6,2016,1,1,2,4
7,2016/1/7,2016,1,1,2,5
8,2016/1/8,2016,1,1,2,6
9,2016/1/9,2016,1,1,2,7
10,2016/1/10,2016,1,1,3,1
11,2016/1/11,2016,1,1,3,2
12,2016/1/12,2016,1,1,3,3
13,2016/1/13,2016,1,1,3,4
14,2016/1/14,2016,1,1,3,5
15,2016/1/15,2016,1,1,3,6
16,2016/1/16,2016,1,1,3,7
17,2016/1/17,2016,1,1,4,1
18,2016/1/18,2016,1,1,4,2
19,2016/1/19,2016,1,1,4,3
20,2016/1/20,2016,1,1,4,4
21,2016/1/21,2016,1,1,4,5
22,2016/1/22,2016,1,1,4,6
23,2016/1/23,2016,1,1,4,7
24,2016/1/24,2016,1,1,5,1
25,2016/1/25,2016,1,1,5,2
26,2016/1/26,2016,1,1,5,3
27,2016/1/27,2016,1,1,5,4
28,2016/1/28,2016,1,1,5,5
29,2016/1/29,2016,1,1,5,6
30,2016/1/30,2016,1,1,5,7
31,2016/1/31,2016,1,1,6,1
32,2016/2/1,2016,1,2,6,2
33,2016/2/2,2016,1,2,6,3
34,2016/2/3,2016,1,2,6,4
35,2016/2/4,2016,1,2,6,5
36,2016/2/5,2016,1,2,6,6
37,2016/2/6,2016,1,2,6,7
38,2016/2/7,2016,1,2,7,1
39,2016/2/8,2016,1,2,7,2
40,2016/2/9,2016,1,2,7,3
41,2016/2/10,2016,1,2,7,4
42,2016/2/11,2016,1,2,7,5
43,2016/2/12,2016,1,2,7,6
44,2016/2/13,2016,1,2,7,7
45,2016/2/14,2016,1,2,8,1
46,2016/2/15,2016,1,2,8,2
47,2016/2/16,2016,1,2,8,3
48,2016/2/17,2016,1,2,8,4
49,2016/2/18,2016,1,2,8,5
50,2016/2/19,2016,1,2,8,6
51,2016/2/20,2016,1,2,8,7
52,2016/2/21,2016,1,2,9,1
53,2016/2/22,2016,1,2,9,2
54,2016/2/23,2016,1,2,9,3
55,2016/2/24,2016,1,2,9,4
56,2016/2/25,2016,1,2,9,5
57,2016/2/26,2016,1,2,9,6
58,2016/2/27,2016,1,2,9,7
59,2016/2/28,2016,1,2,10,1
60,2016/2/29,2016,1,2,10,2
61,2016/3/1,2016,1,3,10,3
62,2016/3/2,2016,1,3,10,4
63,2016/3/3,2016,1,3,10,5
64,2016/3/4,2016,1,3,10,6
65,2016/3/5,2016,1,3,10,7
66,2016/3/6,2016,1,3,11,1
67,2016/3/7,2016,1,3,11,2
68,2016/3/8,2016,1,3,11,3
69,2016/3/9,2016,1,3,11,4
70,2016/3/10,2016,1,3,11,5
71,2016/3/11,2016,1,3,11,6
72,2016/3/12,2016,1,3,11,7
73,2016/3/13,2016,1,3,12,1
74,2016/3/14,2016,1,3,12,2
75,2016/3/15,2016,1,3,12,3
76,2016/3/16,2016,1,3,12,4
77,2016/3/17,2016,1,3,12,5
78,2016/3/18,2016,1,3,12,6
79,2016/3/19,2016,1,3,12,7
80,2016/3/20,2016,1,3,13,1
81,2016/3/21,2016,1,3,13,2
82,2016/3/22,2016,1,3,13,3
83,2016/3/23,2016,1,3,13,4
84,2016/3/24,2016,1,3,13,5
85,2016/3/25,2016,1,3,13,6
86,2016/3/26,2016,1,3,13,7
87,2016/3/27,2016,1,3,14,1
88,2016/3/28,2016,1,3,14,2
89,2016/3/29,2016,1,3,14,3
90,2016/3/30,2016,1,3,14,4
