日期,高温,低温,天气状况,风,空气
2016/1/1,5,-4,霾,无持续风向微风,严重污染
2016/1/2,5,-4,霾~雾,无持续风向微风,严重污染
2016/1/3,4,-4,霾~多云,无持续风向微风,重度污染
2016/1/4,2,-7,多云~晴,北风3-4级,优
2016/1/5,-1,-8,多云,西北风微风,优
2016/1/6,0,-8,多云,西北风微风,优
2016/1/7,-1,-8,多云,西北风微风,优
2016/1/8,-1,-8,多云,西北风微风,良
2016/1/9,1,-8,多云,西北风微风,轻度污染
2016/1/10,-1,-10,阴~多云,北风微风,优
2016/1/11,-3,-11,多云,西北风微风,优
2016/1/12,-3,-11,多云,西北风微风,优
2016/1/13,-1,-9,多云,西北风微风,优
2016/1/14,1,-7,多云,西风微风,轻度污染
2016/1/15,1,-7,多云~阴,北风微风,重度污染
2016/1/16,0,-9,多云,东南风微风,中度污染
2016/1/17,-5,-13,多云,北风微风,良
2016/1/18,-6,-13,多云,西北风微风,优
2016/1/19,-4,-14,多云,西北风微风,中度污染
2016/1/20,-4,-10,阴~多云,北风微风,重度污染
2016/1/21,-2,-13,多云,北风微风,重度污染
2016/1/22,-6,-16,多云~晴,西北风微风,优
2016/1/23,-14,-18,阴~晴,西北风微风,优
2016/1/24,-5,-16,阴~多云,西北风微风,良
2016/1/25,0,-12,多云,西北风微风,良
2016/1/26,-1,-10,多云,西北风微风,良
2016/1/27,1,-9,多云,西北风微风,严重污染
2016/1/28,3,-8,多云,北风微风,严重污染
2016/1/29,-2,-7,多云,东风微风,良
2016/1/30,-3,-11,阴~多云,北风微风,良
2016/1/31,0,-10,多云~晴,西北风微风,优
2016/2/1,2,-8,多云~阴,西北风微风,优
2016/2/2,3,-7,多云,西北风微风,优
2016/2/3,5,-5,多云,西北风微风,良
2016/2/4,3,-6,多云,北风微风,优
2016/2/5,2,-5,多云~晴,西北风微风,优
2016/2/6,4,-5,晴,西北风微风,优
2016/2/7,6,-4,多云,西风微风,良
2016/2/8,11,-3,晴,西北风微风,重度污染
2016/2/9,10,-2,多云~晴,北风微风,良
2016/2/10,9,0,晴~阴,北风微风,轻度污染
2016/2/11,9,2,小雨~多云,北风微风,重度污染
2016/2/12,12,1,小雨,北风微风,重度污染
2016/2/13,2,-7,多云~晴,西北风微风,优
2016/2/14,0,-6,多云~晴,西北风微风,优
2016/2/15,3,-6,多云~晴,西北风微风,优
2016/2/16,6,-3,多云,西北风微风,优
2016/2/17,8,-2,多云,西南风微风,优
2016/2/18,9,-2,晴~阴,北风4-5级,优
2016/2/19,7,-4,多云,北风微风,优
2016/2/20,4,-5,多云,西北风微风,优
2016/2/21,6,-4,多云,南风微风,良
2016/2/22,5,-5,多云,西北风微风,轻度污染
2016/2/23,2,-6,多云,西北风微风,优
2016/2/24,5,-5,多云,西风微风,优
2016/2/25,5,-4,多云,西风微风,优
2016/2/26,7,-2,多云,西南风微风,良
2016/2/27,6,-1,阴,北风微风,优
2016/2/28,4,-5,阴~多云,北风微风,良
2016/2/29,4,-4,阴,南风微风,优
2016/3/1,10,-1,多云,南风微风,轻度污染
2016/3/2,17,3,多云,西风微风,重度污染
2016/3/3,18,5,阴,东南风微风,严重污染
2016/3/4,15,3,阴,西风微风,严重污染
2016/3/5,12,1,多云,西北风微风,轻度污染
2016/3/6,10,2,多云~晴,北风微风,良
2016/3/7,11,-1,晴~阴,北风3-4级,良
2016/3/8,5,-4,多云,北风微风,优
2016/3/9,5,-3,多云,西北风微风,优
2016/3/10,6,-3,多云,西北风微风,优
2016/3/11,8,-1,多云,西南风微风,优
2016/3/12,11,1,阴~多云,西风微风,中度污染
2016/3/13,11,-2,晴,北风3-4级,良
