 x1,x2, x3, x4, x5, x6, x7,ÈËÊý
-3.35,-1.39,2.11,-1.29,-2.15,2.95,0.28,0.18356
-3.35,-1.39,2.11,-1.28,-2.15,2.95,0.28,-0.41765
-3.35,-1.39,2.11,-1.27,-2.14,2.95,0.27,1.37232
-3.36,-1.4,2.11,-1.21,-2.13,2.96,0.27,-1.16916
-3.36,-1.4,2.11,-1.17,-2.12,2.96,0.27,-1.56542
-3.36,-1.4,2.11,-1.15,-2.12,2.96,0.27,-0.29468
-3.36,-1.4,2.11,-1.14,-2.12,2.96,0.27,-1.4971
-3.36,-1.4,2.11,-1.13,-2.11,2.96,0.27,0.10158
-3.36,-1.41,2.1,-1.11,-2.11,2.96,0.27,0.40218
-3.36,-1.41,2.1,-1.1,-2.11,2.96,0.27,-1.05985
-3.36,-1.41,2.1,-1.09,-2.11,2.96,0.27,-0.80024
-3.36,-1.42,2.1,-1,-2.09,2.96,0.27,0.59348
-3.36,-1.43,2.1,-0.92,-2.07,2.97,0.26,0.07425
-3.36,-1.43,2.1,-0.91,-2.07,2.97,0.26,0.6208
-3.36,-1.43,2.1,-0.89,-2.07,2.97,0.26,-0.41765
-3.36,-1.43,2.09,-0.88,-2.06,2.97,0.26,0.25188
-3.36,-1.44,2.09,-0.86,-2.06,2.97,0.26,-0.11704
-3.36,-1.44,2.09,-0.81,-2.05,2.97,0.26,0.21089
-3.36,-1.44,2.09,-0.8,-2.05,2.97,0.26,-0.11704
-3.36,-1.45,2.09,-0.74,-2.03,2.97,0.26,0.01959
-3.36,-1.45,2.09,-0.73,-2.03,2.97,0.26,-0.22636
-3.36,-1.45,2.09,-0.7,-2.03,2.97,0.26,-0.52696
-3.36,-1.45,2.09,-0.68,-2.02,2.97,0.26,0.53882
-3.36,-1.46,2.09,-0.66,-2.02,2.97,0.26,-0.63627
-3.36,-1.46,2.08,-0.63,-2.01,2.97,0.26,-0.322
-3.36,-1.47,2.08,-0.58,-2,2.98,0.25,-0.40399
-3.36,-1.48,2.08,-0.49,-1.98,2.98,0.25,-1.3058
-3.36,-1.48,2.08,-0.47,-1.98,2.98,0.25,-1.51076
-3.36,-1.48,2.08,-0.45,-1.98,2.98,0.25,-0.52696
-3.36,-1.48,2.08,-0.45,-1.97,2.98,0.25,0.01959
-3.36,-1.48,2.08,-0.44,-1.97,2.98,0.25,-0.52696
